path;id;Subordination;Complements;Coordination;Apposition;Passive verbs;Parataxis;Auxiliary Verbs;Negation;Prepositional Phrases;Modifiers;Mean word length;Mean sentence length;Basic english ratio;Syllables per sentence;Type token ratio;#nouns;#verbs;#adjectives;#adverbs;#pronouns;#commas
data/weebit/WeeBit-TextOnly/BitGCSE;3644.txt;0.4444444444444444;1.0;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.0;1.2222222222222223;0.5555555555555556;1.4444444444444444;1.2222222222222223;4.221476510067114;16.555555555555557;2.515151515151515;22.22222222222222;0.6040268456375839;4.222222222222222;3.111111111111111;1.1111111111111112;0.8888888888888888;1.2222222222222223;0.1111111111111111
data/weebit/WeeBit-TextOnly/BitGCSE;5235.txt;0.3333333333333333;0.6666666666666666;0.5;0.1111111111111111;0.2222222222222222;0.0;0.9444444444444444;0.16666666666666666;2.6666666666666665;2.0555555555555554;4.330623306233062;20.5;3.0;29.72222222222222;0.5203252032520326;5.611111111111111;2.388888888888889;1.5;0.7222222222222222;0.3333333333333333;0.9444444444444444
data/weebit/WeeBit-TextOnly/BitGCSE;1053.txt;0.2727272727272727;0.45454545454545453;0.7272727272727273;0.36363636363636365;0.09090909090909091;0.09090909090909091;0.7272727272727273;0.18181818181818182;1.6363636363636365;2.0;4.435233160621761;19.3;3.305555555555556;27.5;0.6580310880829016;6.3;2.6;1.7;0.7;0.5;0.6
data/weebit/WeeBit-TextOnly/BitGCSE;7422.txt;0.4666666666666667;0.6;0.3333333333333333;0.13333333333333333;0.4;0.0;1.2;0.13333333333333333;1.7333333333333334;2.933333333333333;4.411320754716981;17.666666666666668;2.7954545454545454;25.4;0.49056603773584906;4.466666666666667;2.6;2.3333333333333335;0.4666666666666667;0.7333333333333333;0.3333333333333333
data/weebit/WeeBit-TextOnly/BitGCSE;7344.txt;1.0;0.6428571428571429;0.5;0.14285714285714285;0.5;0.0;1.3571428571428572;0.21428571428571427;2.0;2.4285714285714284;4.387417218543046;21.571428571428573;2.94;31.642857142857142;0.5298013245033113;6.428571428571429;3.857142857142857;1.5;0.6428571428571429;0.5714285714285714;0.42857142857142855
data/weebit/WeeBit-TextOnly/BitGCSE;1735.txt;0.8;0.96;0.68;0.48;0.32;0.04;1.32;0.24;1.96;2.44;3.723333333333333;22.22222222222222;3.3513513513513513;28.48148148148148;0.44;5.37037037037037;3.4074074074074074;1.5185185185185186;0.7777777777777778;1.2222222222222223;0.4444444444444444
data/weebit/WeeBit-TextOnly/BitGCSE;5553.txt;0.36666666666666664;0.5333333333333333;0.26666666666666666;0.06666666666666667;0.16666666666666666;0.0;0.7;0.13333333333333333;1.3;1.5333333333333334;4.2091954022988505;15.0;2.625;20.344827586206897;0.4574712643678161;4.275862068965517;2.3793103448275863;0.8275862068965517;0.5862068965517241;0.3448275862068966;0.4482758620689655
data/weebit/WeeBit-TextOnly/BitGCSE;4895.txt;0.47058823529411764;0.29411764705882354;0.7941176470588235;0.058823529411764705;0.029411764705882353;0.0;1.4411764705882353;0.6470588235294118;1.5588235294117647;0.7941176470588235;4.25512104283054;15.794117647058824;2.6153846153846154;19.735294117647058;0.27001862197392923;3.235294117647059;3.823529411764706;0.6764705882352942;0.8823529411764706;0.9117647058823529;0.6176470588235294
data/weebit/WeeBit-TextOnly/BitGCSE;3122.txt;0.38636363636363635;0.5454545454545454;0.3409090909090909;0.09090909090909091;0.045454545454545456;0.0;1.0454545454545454;0.3181818181818182;1.1136363636363635;1.1363636363636365;3.8985736925515058;14.674418604651162;3.8070175438596494;17.88372093023256;0.35657686212361334;3.86046511627907;2.604651162790698;0.6744186046511628;0.6976744186046512;0.9534883720930233;0.4418604651162791
data/weebit/WeeBit-TextOnly/BitGCSE;5547.txt;0.5;1.3333333333333333;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.0;1.6666666666666667;0.6666666666666666;1.8333333333333333;1.6666666666666667;4.132231404958677;20.166666666666668;2.321428571428571;26.333333333333332;0.5867768595041323;4.666666666666667;3.8333333333333335;1.6666666666666667;1.0;1.3333333333333333;0.16666666666666666
